Response_Time,Animation_Effect,User_Feedback,Visual_Consistency,Functional_Consistency,Content_Consistency,Response_Consistency,Error_Recovery,Accessibility,Memorability,New_User_Tutorial,Help_and_Hints,Efficiency,Cognitive_Load_Value
3,3,3,2,3,3,3,1,3,3,3,3,1,2.66
3,3,4,1,1,3,4,4,3,4,3,5,3,3.16
3,3,3,2,3,4,3,3,3,3,3,4,4,3.16
3,5,4,1,2,5,3,4,4,5,3,4,4,3.66
3,5,4,3,3,2,3,3,3,3,4,3,3,3.33
3,4,3,1,2,2,3,4,3,4,3,4,2,3
3,5,5,5,3,4,5,3,4,4,5,5,3,3.83
3,1,4,1,1,1,1,5,3,4,5,4,1,2.66
4,2,3,1,5,4,3,2,3,5,4,1,3,3
3,3,4,3,4,3,2,3,4,2,4,3,3,3.3
